year,state,paid_holders,resident_licenses,nonresident_licenses,gross_cost,resident_cost,nonresident_cost,fips,pop,council_id,council_name
2024,California,1687035.0,2546453.0,153944.0,76895077.0,72005816.0,4889261.0,6,,5,Pacific
2024,Colorado,949595.0,804969.0,511912.0,29928665.0,17593374.0,12335290.0,8,,0,No Council
2024,Connecticut,147762.0,277217.0,23636.0,4524679.0,3833644.0,691035.0,9,,1,New England
2024,Delaware,85779.0,64866.0,47817.0,1568732.0,658966.0,909765.0,10,,2,Mid-Atlantic
2024,District of Columbia,7264.0,1634.0,5630.0,87425.0,16406.0,71019.0,11,,0,No Council
2024,Florida,1720836.0,1577905.0,917665.0,47341420.0,21587440.0,25753980.0,12,,3,South Atlantic
2024,Georgia,1114640.0,1382144.0,221189.0,15747703.0,12429167.0,3318536.0,13,,3,South Atlantic
2024,Guam,0.0,0.0,0.0,,,,66,,8,Western Pacific
2024,Hawaii,3413.0,3741.0,883.0,25541.0,15306.0,10235.0,15,,8,Western Pacific
2024,Idaho,557974.0,637839.0,247744.0,18358838.0,8117593.0,10241245.0,16,,0,No Council
2024,Illinois,618921.0,660604.0,62997.0,8342403.0,6974222.0,1368181.0,17,,0,No Council
2024,Indiana,570322.0,418935.0,59736.0,7874092.0,6421404.0,1452688.0,18,,0,No Council
2024,Iowa,353931.0,342364.0,62449.0,10018528.0,8098781.0,1919747.0,19,,0,No Council
2024,Kansas,290068.0,212800.0,51805.0,6689831.0,5186603.0,1503228.0,20,,0,No Council
2024,Kentucky,554152.0,504336.0,85347.0,11387851.0,8439516.0,2948335.0,21,,0,No Council
2024,Louisiana,736070.0,654998.0,202144.0,11113122.0,6963549.0,4149573.0,22,,4,Gulf of Mexico
2024,Maine,367124.0,198344.0,92604.0,9394339.0,5607984.0,3786355.0,23,,1,New England
2024,Maryland,301530.0,353670.0,99405.0,8893543.0,6422079.0,2471464.0,24,,2,Mid-Atlantic
2024,Massachusetts,273849.0,412127.0,50101.0,6947055.0,6161962.0,785093.0,25,,1,New England
2024,Michigan,1154958.0,939165.0,252180.0,29831447.0,20555755.0,9275692.0,26,,0,No Council
2024,Minnesota,1421560.0,1219987.0,377439.0,38469076.0,25092611.0,13376465.0,27,,0,No Council
2024,Mississippi,319916.0,324082.0,72959.0,6331666.0,4403635.0,1928031.0,28,,4,Gulf of Mexico
2024,Missouri,769458.0,1134532.0,183428.0,14724105.0,10102676.0,4621429.0,29,,0,No Council
2024,Montana,459939.0,738310.0,739575.0,22968713.0,6321001.0,16647712.0,30,,0,No Council
2024,Commonwealth of the Northern Mariana Islands,79.0,79.0,0.0,1115.0,1115.0,,69,,8,Western Pacific
2024,Nebraska,241835.0,297392.0,76675.0,8004692.0,6539874.0,1464818.0,31,,0,No Council
2024,Nevada,162548.0,120014.0,60383.0,5473787.0,3247302.0,2226484.0,32,,0,No Council
2024,New Hampshire,180404.0,147695.0,60982.0,7402413.0,4960086.0,2442326.0,33,,1,New England
2024,New Jersey,194128.0,270644.0,30655.0,5791962.0,5009608.0,782354.0,34,,2,Mid-Atlantic
2024,New Mexico,263422.0,537760.0,229300.0,8335016.0,5548815.0,2786201.0,35,,0,No Council
2024,New York,884664.0,973556.0,215688.0,21770145.0,15994618.0,5775527.0,36,,2,Mid-Atlantic
2024,North Carolina,1404125.0,664166.0,275808.0,28658118.0,22333991.0,6324127.0,37,,2,Mid-Atlantic
2024,North Dakota,209053.0,150058.0,64712.0,4027973.0,1902877.0,2125096.0,38,,0,No Council
2024,Ohio,839329.0,624067.0,136204.0,19983322.0,16323504.0,3659818.0,39,,0,No Council
2024,Oklahoma,630807.0,529358.0,101449.0,13064637.0,7932211.0,5132426.0,40,,0,No Council
2024,Oregon,640655.0,767851.0,217658.0,33462943.0,24848717.0,8614226.0,41,,5,Pacific
2024,Pennsylvania,1114744.0,1410347.0,141671.0,30308912.0,25749784.0,4559128.0,42,,2,Mid-Atlantic
2024,Puerto Rico,0.0,0.0,0.0,,,,72,,7,Caribbean
2024,Rhode Island,96703.0,78586.0,37418.0,878138.0,738790.0,139348.0,44,,1,New England
2024,South Carolina,577416.0,576553.0,230871.0,6360006.0,4038668.0,2321338.0,45,,3,South Atlantic
2024,South Dakota,237457.0,145859.0,104949.0,7537446.0,3389801.0,4147645.0,46,,0,No Council
2024,Tennessee,982700.0,914089.0,388475.0,37932481.0,24578552.0,13353929.0,47,,0,No Council
2024,Texas,1989010.0,2240664.0,172297.0,65959728.0,59533884.0,6425844.0,48,,4,Gulf of Mexico
2024,United States Virgin Islands,0.0,0.0,0.0,,,,78,,7,Caribbean
2024,Utah,517540.0,406089.0,140144.0,17310581.0,12902471.0,4408110.0,49,,0,No Council
2024,Vermont,122922.0,82754.0,45323.0,4190940.0,2481926.0,1709014.0,50,,0,No Council
2024,Virginia,559013.0,874526.0,101835.0,28472390.0,25600090.0,2872300.0,51,,2,Mid-Atlantic
2024,Washington,716371.0,1331287.0,158019.0,37046370.0,31824343.0,5222027.0,53,,5,Pacific
2024,West Virginia,319178.0,595019.0,173271.0,6203706.0,4481736.0,1721970.0,54,,0,No Council
2024,Wisconsin,1366447.0,1323152.0,448237.0,34623011.0,22476419.0,12146592.0,55,,0,No Council
2024,Wyoming,250870.0,92352.0,231511.0,8580741.0,1963686.0,6617055.0,56,,0,No Council
2023,Alabama,623287.0,679199.0,175412.0,18396400.0,12395455.0,6000945.0,1,,4,Gulf of Mexico
2023,Alaska,283646.0,250794.0,184899.0,15323954.0,5052274.0,10271680.0,2,,6,North Pacific
2023,American Samoa,0.0,0.0,0.0,,,,60,,8,Western Pacific
2023,Arizona,515539.0,441034.0,107082.0,16485643.0,11477446.0,5008197.0,4,,0,No Council
2023,Arkansas,543860.0,480391.0,227057.0,10522147.0,5359849.0,5162298.0,5,,0,No Council
2023,California,1757685.0,2620988.0,143851.0,79395897.0,74783482.0,4612415.0,6,,5,Pacific
2023,Colorado,1048260.0,949665.0,513546.0,33113665.0,20909442.0,12204223.0,8,,0,No Council
2023,Connecticut,169484.0,298887.0,21110.0,5218813.0,4576699.0,642115.0,9,,1,New England
2023,Delaware,92120.0,72888.0,45954.0,1649417.0,740376.0,909041.0,10,,2,Mid-Atlantic
2023,District of Columbia,7814.0,2090.0,5724.0,97592.0,21400.0,76192.0,11,,0,No Council
2023,Florida,1743139.0,1713983.0,865659.0,48061363.0,23574539.0,24486824.0,12,,3,South Atlantic
